                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6856,                0.46424,                 1.7201,                 0.5501,                0.62856,                0.55217,                0.40972,                 1.0363,                0.69354,                  2.126,              0.0015515,              0.0015515,              0.0015515
                     37,                0.70848,                0.46939,                 1.7614,                0.57379,                0.67026,                0.56939,                0.48599,                 0.6645,                0.53797,                 1.8933,              0.0015482,              0.0015482,              0.0015482
                     38,                0.68709,                0.46043,                 1.7609,                0.55253,                 0.6464,                0.54199,                0.42972,                0.85796,                0.64608,                 2.0981,              0.0015449,              0.0015449,              0.0015449
                     39,                0.66259,                0.46837,                 1.7396,                0.54721,                0.60682,                0.54888,                0.45277,                0.72567,                0.58593,                 2.0069,              0.0015416,              0.0015416,              0.0015416
                     40,                0.69923,                0.46759,                 1.7732,                0.56233,                0.78662,                0.57698,                0.47889,                  0.705,                0.54021,                 1.9429,              0.0015383,              0.0015383,              0.0015383
                     41,                0.69145,                  0.461,                 1.7736,                0.56679,                0.72173,                0.55962,                 0.4711,                0.69532,                0.54612,                 1.9362,               0.001535,               0.001535,               0.001535
                     42,                0.66723,                0.45652,                 1.7238,                0.53754,                0.60682,                0.52449,                0.43297,                 0.7399,                0.59499,                  2.027,              0.0015317,              0.0015317,              0.0015317
                     43,                0.70126,                0.47401,                 1.7706,                  0.662,                0.60468,                0.58388,                0.46498,                0.86498,                0.57775,                 2.0039,              0.0015284,              0.0015284,              0.0015284
                     44,                0.67303,                0.45389,                 1.7395,                 0.6356,                0.65519,                0.60237,                0.50319,                0.70591,                0.56195,                 1.9725,              0.0015251,              0.0015251,              0.0015251
                     45,                0.68908,                0.46938,                 1.7793,                0.56262,                0.73164,                0.58223,                 0.4811,                0.76584,                  0.591,                 1.9932,              0.0015218,              0.0015218,              0.0015218
                     46,                0.67026,                0.46811,                  1.742,                0.55443,                0.53973,                0.54842,                0.46123,                0.71389,                0.58623,                 1.9888,              0.0015185,              0.0015185,              0.0015185
                     47,                0.66114,                0.45253,                 1.7607,                 0.5936,                0.68829,                0.60198,                0.49773,                0.74226,                0.62546,                 2.0169,              0.0015152,              0.0015152,              0.0015152
                     48,                0.67137,                0.44675,                 1.7276,                0.55633,                0.65849,                 0.5772,                0.46158,                0.83214,                0.57451,                 2.0494,              0.0015119,              0.0015119,              0.0015119
                     49,                  0.671,                0.45045,                 1.7413,                0.61006,                0.65352,                0.60603,                0.49419,                0.78142,                0.68002,                 2.0048,              0.0015086,              0.0015086,              0.0015086
                     50,                 0.6886,                0.46809,                 1.7743,                0.56299,                0.74589,                0.59617,                0.48203,                0.80255,                0.62864,                 2.0223,              0.0015053,              0.0015053,              0.0015053
